query,_id,_score,symbol
ENSG00000108510,9969,31.515606,MED13
ENSG00000067646,7544,32.50751,ZFY
ENSG00000110104,79080,31.515606,CCDC86
ENSG00000136932,51531,31.515606,TRMO
ENSG00000165121,ENSG00000165121,32.50751,
ENSG00000254093,54984,31.515291,PINX1
ENSG00000106089,6804,32.50735,STX1A
ENSG00000118515,6446,31.515455,SGK1
ENSG00000115738,3398,31.515606,ID2
ENSG00000196357,147929,31.515291,ZNF565
ENSG00000172901,206338,31.515606,LVRN
ENSG00000117228,2633,31.515606,GBP1
ENSG00000041802,55341,32.50751,LSG1
ENSG00000103978,25963,32.50751,TMEM87A
ENSG00000160584,23387,31.515606,SIK3
ENSG00000169251,51068,31.515606,NMD3
ENSG00000163374,55249,32.50751,YY1AP1
ENSG00000071243,54556,31.515455,ING3
ENSG00000180376,285331,31.515455,CCDC66
ENSG00000143622,6016,32.50735,RIT1
ENSG00000121621,81930,31.515606,KIF18A
ENSG00000095787,51322,32.50717,WAC
ENSG00000173575,1106,31.515606,CHD2
ENSG00000168101,84309,32.50717,NUDT16L1
ENSG00000111011,65117,32.50751,RSRC2
ENSG00000172115,54205,31.515606,CYCS
ENSG00000152443,284309,31.515606,ZNF776
ENSG00000143756,23219,32.50751,FBXO28
ENSG00000015153,10138,31.515606,YAF2
ENSG00000117569,58155,31.515606,PTBP2
ENSG00000067248,54505,31.515606,DHX29
ENSG00000168275,388753,31.515606,COA6
ENSG00000135334,55122,31.515291,AKIRIN2
ENSG00000000457,57147,32.50751,SCYL3
ENSG00000133265,23640,32.50751,HSPBP1
ENSG00000164542,23366,32.50751,MATCAP2
ENSG00000116922,54955,31.515291,AIRIM
ENSG00000141994,56931,31.515606,DUS3L
ENSG00000136273,3364,31.515606,HUS1
ENSG00000163519,50852,32.50751,TRAT1
ENSG00000115289,84759,32.50751,PCGF1
ENSG00000198393,7574,32.50735,ZNF26
ENSG00000174749,132720,32.50751,FAM241A
ENSG00000120129,1843,31.515606,DUSP1
ENSG00000166263,252983,31.515291,STXBP4
ENSG00000198746,63906,32.50735,GPATCH3
ENSG00000178381,90637,31.515606,ZFAND2A
ENSG00000119661,83544,32.50751,DNAL1
ENSG00000163472,84283,32.50751,TMEM79
ENSG00000132466,26057,32.50717,ANKRD17
ENSG00000134317,29841,31.515606,GRHL1
ENSG00000175324,27257,32.50751,LSM1
ENSG00000163874,80149,32.50717,ZC3H12A
ENSG00000174177,348180,32.50717,CTU2
ENSG00000175197,1649,31.515291,DDIT3
ENSG00000144182,51601,31.515606,LIPT1
ENSG00000197568,11147,32.50751,ANKRD13C-DT
ENSG00000111641,4839,32.50751,NOP2
ENSG00000112031,54516,31.515606,MTRF1L
ENSG00000157601,4599,31.515606,MX1
ENSG00000078081,27074,31.515606,LAMP3
ENSG00000158373,3017,31.515606,H2BC5
ENSG00000164821,1669,31.515606,DEFA4
ENSG00000276966,8367,31.515606,H4C5
ENSG00000126787,9787,32.50751,DLGAP5
ENSG00000064886,1117,32.50751,CHI3L2
ENSG00000117281,11126,31.515606,CD160
ENSG00000178105,1662,32.50751,DDX10
ENSG00000087074,23645,32.50751,PPP1R15A
ENSG00000182481,3838,31.515606,KPNA2
ENSG00000142751,54707,32.50717,GPN2
ENSG00000132326,8864,32.50717,PER2
ENSG00000128563,79706,32.50717,PRKRIP1
ENSG00000154640,10950,32.50717,BTG3
ENSG00000205659,91750,32.50735,LIN52
ENSG00000135924,3300,31.515606,DNAJB2
ENSG00000134153,56851,32.50751,EMC7
ENSG00000139131,51067,32.50751,YARS2
ENSG00000148688,10556,32.50751,RPP30
ENSG00000124228,55661,31.515606,DDX27
ENSG00000134375,10440,32.50751,TIMM17A
ENSG00000108559,4927,32.50735,NUP88
ENSG00000100664,1983,32.50751,EIF5
ENSG00000105447,83743,32.50751,GRWD1
ENSG00000089048,51575,31.515606,ESF1
ENSG00000127804,79066,31.515606,METTL16
ENSG00000120306,84418,32.50751,CYSTM1
ENSG00000101624,79959,31.515291,CEP76
ENSG00000241258,27297,31.515291,CRCP
ENSG00000065665,55176,32.50751,SEC61A2
ENSG00000124193,6431,31.515606,SRSF6
ENSG00000169220,10636,31.515606,RGS14
ENSG00000163510,57703,31.515606,CWC22
ENSG00000144840,285282,32.50751,RABL3
ENSG00000141504,112483,32.50751,SAT2
ENSG00000154813,285381,32.50717,DPH3
ENSG00000168564,55602,32.50717,CDKN2AIP
ENSG00000081721,11266,32.50751,DUSP12
ENSG00000032219,5926,31.515606,ARID4A
ENSG00000163312,113510,30.374268,HELQ
ENSG00000064313,6873,31.515606,TAF2
ENSG00000182831,29035,32.50751,HAPSTR1
ENSG00000174775,3265,31.515606,HRAS
ENSG00000159086,94104,32.50751,PAXBP1
ENSG00000114446,55081,32.50751,IFT57
ENSG00000198862,26046,32.50751,LTN1
ENSG00000004961,3052,32.50735,HCCS
ENSG00000175595,2072,31.515455,ERCC4
ENSG00000109534,54433,31.515291,GAR1
ENSG00000160679,26097,31.515291,CHTOP
ENSG00000108106,27338,31.515606,UBE2S
ENSG00000185246,55015,32.50751,PRPF39
ENSG00000134186,55119,32.50751,PRPF38B
ENSG00000123545,29078,32.50751,NDUFAF4
ENSG00000141378,51651,32.50751,PTRH2
ENSG00000174010,80311,32.50735,KLHL15
ENSG00000007372,5080,31.515606,PAX6
ENSG00000255717,23642,32.50751,SNHG1
ENSG00000101084,55969,32.50751,RAB5IF
ENSG00000135521,84946,31.515291,LTV1
ENSG00000059769,548645,32.50751,DNAJC25
ENSG00000135637,84865,32.50751,CCDC142
ENSG00000106868,64420,32.50717,SUSD1
ENSG00000131759,5914,31.515606,RARA
ENSG00000231684,ENSG00000231684,10.486294,EIF1P3
ENSG00000224383,92340,32.50751,PRR29
ENSG00000167981,146434,31.515606,ZNF597
ENSG00000166016,25841,32.50717,ABTB2
ENSG00000156869,391059,32.50751,FRRS1
ENSG00000131747,7153,31.515606,TOP2A
ENSG00000106462,2146,31.515606,EZH2
ENSG00000138160,3832,31.515606,KIF11
ENSG00000132530,54739,31.515606,XAF1
ENSG00000168329,1524,31.515606,CX3CR1
ENSG00000143294,5546,32.50751,PRCC
ENSG00000227057,9277,32.50751,WDR46
ENSG00000186625,11104,31.515606,KATNA1
ENSG00000085433,22911,32.50751,WDR47
ENSG00000139112,23710,31.515291,GABARAPL1
ENSG00000196449,79693,31.515606,YRDC
ENSG00000163811,23160,31.515606,WDR43
ENSG00000102401,51566,32.50751,ARMCX3
ENSG00000173145,64318,32.50751,NOC3L
ENSG00000093144,55862,32.50717,ECHDC1
ENSG00000124784,83732,31.515606,RIOK1
ENSG00000083937,25978,32.50751,CHMP2B
ENSG00000187522,51182,31.515606,HSPA14
ENSG00000165113,80318,31.515606,GKAP1
ENSG00000111266,80824,32.50751,DUSP16
ENSG00000113575,5515,30.861956,PPP2CA
ENSG00000204386,4758,31.515606,NEU1
ENSG00000186141,10623,31.515455,POLR3C
ENSG00000198356,439,31.515455,GET3
ENSG00000175175,22843,31.515606,PPM1E
ENSG00000085274,55892,32.50751,MYNN
ENSG00000163743,25898,31.515606,RCHY1
ENSG00000133773,29080,32.50735,CCDC59
ENSG00000088356,81572,32.50735,PDRG1
ENSG00000183864,10766,32.50751,TOB2
ENSG00000111300,80018,32.50735,NAA25
ENSG00000070018,4040,31.515606,LRP6
ENSG00000100906,4792,31.515606,NFKBIA
ENSG00000157181,54953,32.50735,ODR4
ENSG00000110429,26273,31.515606,FBXO3
ENSG00000107262,573,31.515606,BAG1
ENSG00000132005,5989,31.515606,RFX1
ENSG00000187051,91582,31.515606,RPS19BP1
ENSG00000104497,64089,31.515606,SNX16
ENSG00000047621,57102,32.50751,FERRY3
ENSG00000148943,55327,30.862257,LIN7C
ENSG00000171223,3726,31.515606,JUNB
ENSG00000185721,4733,31.515606,DRG1
ENSG00000162775,64783,31.515606,RBM15
ENSG00000095574,64376,32.50751,IKZF5
ENSG00000087586,6790,31.515606,AURKA
ENSG00000132406,85013,32.50751,TMEM128
ENSG00000117597,27042,32.50717,UTP25
ENSG00000164338,84135,32.50751,UTP15
ENSG00000156860,64319,32.50717,FBRS
ENSG00000056097,51663,32.50717,ZFR
ENSG00000275052,57223,32.50717,PPP4R3B
ENSG00000126775,22863,30.861956,ATG14
ENSG00000163376,84541,31.515291,KBTBD8
ENSG00000083896,91746,32.50751,YTHDC1
ENSG00000169136,22809,32.50751,ATF5
ENSG00000170037,116840,32.50717,CNTROB
ENSG00000280385,ENSG00000280385,32.50751,
ENSG00000185022,23764,32.50751,MAFF
ENSG00000100393,2033,31.515606,EP300
ENSG00000089685,332,30.862114,BIRC5
ENSG00000204348,1797,32.50717,DXO
ENSG00000170502,53343,31.515291,NUDT9
ENSG00000142556,80110,31.515606,ZNF614
ENSG00000100532,10668,31.515606,CGRRF1
ENSG00000224126,ENSG00000224126,10.486294,UBE2SP2
ENSG00000113070,1839,31.515455,HBEGF
ENSG00000132522,2874,32.50751,GPS2
ENSG00000138646,51191,31.515606,HERC5
ENSG00000165672,10935,31.515606,PRDX3
ENSG00000185745,3434,30.862257,IFIT1
ENSG00000134321,91543,32.50751,RSAD2
ENSG00000004468,952,31.515606,CD38
ENSG00000100526,1033,32.50751,CDKN3
ENSG00000151725,79682,31.515606,CENPU
ENSG00000204287,3122,32.50751,HLA-DRA
ENSG00000197561,1991,31.515606,ELANE
ENSG00000156642,27020,31.515606,NPTN
ENSG00000189060,3005,31.515606,H1-0
ENSG00000166848,54386,31.515606,TERF2IP
ENSG00000113312,7265,31.515606,TTC1
ENSG00000158796,9191,31.515455,DEDD
ENSG00000144597,85403,31.515455,EAF1
ENSG00000110172,26973,31.515606,CHORDC1
ENSG00000273559,54883,31.515291,CWC25
ENSG00000117625,55758,32.50751,RCOR3
ENSG00000159082,8867,31.515606,SYNJ1
ENSG00000137168,51645,32.50751,PPIL1
ENSG00000086061,3301,31.515291,DNAJA1
ENSG00000130749,23211,32.50717,ZC3H4
ENSG00000196437,148266,32.50751,ZNF569
ENSG00000172273,25988,31.515606,HINFP
ENSG00000132842,8546,31.515606,AP3B1
ENSG00000144566,5868,31.515606,RAB5A
ENSG00000116514,127544,31.515606,RNF19B
ENSG00000056487,112885,32.50751,PHF21B
ENSG00000164163,6059,31.515606,ABCE1
ENSG00000105705,57794,31.515606,SUGP1
ENSG00000153317,50807,32.50751,ASAP1
ENSG00000124164,9217,31.515606,VAPB
ENSG00000156502,6832,31.515606,SUPV3L1
ENSG00000142528,25888,31.515606,ZNF473
ENSG00000148154,7357,32.50717,UGCG
ENSG00000033030,55596,32.50717,ZCCHC8
ENSG00000105856,26959,32.50717,HBP1
ENSG00000029363,9774,32.50717,BCLAF1
ENSG00000136450,6426,31.515291,SRSF1
ENSG00000139620,54934,32.50751,KANSL2
ENSG00000114933,54891,32.50751,INO80D
ENSG00000006194,10127,31.515606,ZNF263
ENSG00000033627,535,31.515291,ATP6V0A1
ENSG00000278053,11056,32.50751,DDX52
ENSG00000137221,93643,32.50751,TJAP1
ENSG00000092020,55012,32.50751,PPP2R3C
ENSG00000089195,51605,32.50751,TRMT6
ENSG00000175606,54968,32.50751,TMEM70
